thickness	StressThickness	R	T	P	Melting_T
63.71776	28.74336094	0.08	295	0.27	2896
70.07536	32.09114708	0.08	295	0.27	2896
76.43344	35.57786268	0.08	295	0.27	2896
82.7892	39.5177042	0.08	295	0.27	2896
89.14304	43.55733234	0.08	295	0.27	2896
95.4976	48.04720544	0.08	295	0.27	2896
101.85008	52.43155081	0.08	295	0.27	2896
108.20248	56.98469227	0.08	295	0.27	2896
114.55208	61.85928035	0.08	295	0.27	2896
120.89984	66.76472755	0.08	295	0.27	2896
127.24704	71.78914082	0.08	295	0.27	2896
133.59408	76.93057261	0.08	295	0.27	2896
139.94008	82.07449362	0.08	295	0.27	2896
146.28672	87.73292325	0.08	295	0.27	2896
152.63552	93.34256883	0.08	295	0.27	2896
158.9836	99.14971107	0.08	295	0.27	2896
165.33392	105.5420905	0.08	295	0.27	2896
171.6808	111.09724	0.08	295	0.27	2896
178.0264	116.5843612	0.08	295	0.27	2896
184.37304	122.6592381	0.08	295	0.27	2896
190.71832	128.356512	0.08	295	0.27	2896
197.05984	133.923259	0.08	295	0.27	2896
203.40064	139.8425437	0.08	295	0.27	2896
209.74112	145.7686654	0.08	295	0.27	2896
216.07992	151.5645282	0.08	295	0.27	2896
222.4188	157.6747243	0.08	295	0.27	2896
228.75736	163.5718858	0.08	295	0.27	2896
235.09728	169.6593695	0.08	295	0.27	2896
241.43704	175.7261245	0.08	295	0.27	2896
247.77552	181.9562421	0.08	295	0.27	2896
254.11488	188.3029096	0.08	295	0.27	2896
260.45392	194.3437159	0.08	295	0.27	2896
266.79264	200.4155305	0.08	295	0.27	2896
273.13192	206.6046525	0.08	295	0.27	2896
279.47088	212.7761348	0.08	295	0.27	2896
285.80872	218.5252866	0.08	295	0.27	2896
292.146	224.6687495	0.08	295	0.27	2896
298.48328	230.8665353	0.08	295	0.27	2896
304.82072	236.9943064	0.08	295	0.27	2896
311.15776	242.502832	0.08	295	0.27	2896
317.494	248.379389	0.08	295	0.27	2896
323.82984	254.4636818	0.08	295	0.27	2896
330.3204	260.2510091	0.08	295	0.27	2896
336.65568	265.9819001	0.08	295	0.27	2896
342.9904	271.6080987	0.08	295	0.27	2896
349.47496	277.7712388	0.08	295	0.27	2896
355.8096	283.6021758	0.08	295	0.27	2896
362.1452	289.2800702	0.08	295	0.27	2896
368.63552	294.9296566	0.08	295	0.27	2896
374.96936	300.54607	0.08	295	0.27	2896
381.30256	305.9354893	0.08	295	0.27	2896
387.6356	311.7268761	0.08	295	0.27	2896
393.97176	317.2273054	0.08	295	0.27	2896
