thickness	StressThickness	R	T	P	Melting_T
72.46232	172.5089702	0.08	295	0.27	2180
92.776	211.0192101	0.08	295	0.27	2180
113.54064	244.6904197	0.08	295	0.27	2180
133.97952	273.9395724	0.08	295	0.27	2180
154.23056	300.1243002	0.08	295	0.27	2180
174.4616	324.2715702	0.08	295	0.27	2180
194.69232	345.8095035	0.08	295	0.27	2180
214.92776	365.7512783	0.08	295	0.27	2180
235.16896	384.1031428	0.08	295	0.27	2180
255.71704	401.4355962	0.08	295	0.27	2180
275.96088	417.121855	0.08	295	0.27	2180
296.34936	432.1569802	0.08	295	0.27	2180
316.73464	446.6851563	0.08	295	0.27	2180
336.98568	461.4131496	0.08	295	0.27	2180
357.6952	475.6880081	0.08	295	0.27	2180
377.9368	489.3266185	0.08	295	0.27	2180
398.48056	502.2829328	0.08	295	0.27	2180
