thickness,StressThickness,R,T,P,Melting_T
53.99752,55.89942049,0.04,295,0.27,2183
57.30304,59.86622371,0.04,295,0.27,2183
60.60884,63.39792348,0.04,295,0.27,2183
63.91364,66.78888459,0.04,295,0.27,2183
67.21828,70.32723142,0.04,295,0.27,2183
70.52228,73.56201394,0.04,295,0.27,2183
73.82576,76.66806485,0.04,295,0.27,2183
77.12992,79.87999109,0.04,295,0.27,2183
80.43296,82.68794027,0.04,295,0.27,2183
83.7354,85.75203207,0.04,295,0.27,2183
87.03804,88.23466655,0.04,295,0.27,2183
90.33936,90.75812545,0.04,295,0.27,2183
93.64016,93.75069129,0.04,295,0.27,2183
96.94116,96.29597116,0.04,295,0.27,2183
100.24168,98.59008286,0.04,295,0.27,2183
103.54176,101.0254156,0.04,295,0.27,2183
106.84156,103.3993699,0.04,295,0.27,2183
110.14156,105.8770118,0.04,295,0.27,2183
113.441,107.7336282,0.04,295,0.27,2183
116.74052,109.8597923,0.04,295,0.27,2183
120.0402,112.1752631,0.04,295,0.27,2183
123.33872,114.1967592,0.04,295,0.27,2183
126.63832,116.002855,0.04,295,0.27,2183
129.93684,117.9780268,0.04,295,0.27,2183
133.2354,119.9603289,0.04,295,0.27,2183
136.5342,121.645868,0.04,295,0.27,2183
139.83256,123.8684993,0.04,295,0.27,2183
143.13156,125.8030819,0.04,295,0.27,2183
146.42944,127.9541265,0.04,295,0.27,2183
149.727,129.8096442,0.04,295,0.27,2183
153.02512,131.8229041,0.04,295,0.27,2183
156.32276,133.5340089,0.04,295,0.27,2183
159.6204,135.7727188,0.04,295,0.27,2183
162.91612,137.3519963,0.04,295,0.27,2183
166.2118,139.0242934,0.04,295,0.27,2183
169.50832,140.8938334,0.04,295,0.27,2183
172.80472,142.7714622,0.04,295,0.27,2183
176.1018,144.2640533,0.04,295,0.27,2183
179.39788,146.1496662,0.04,295,0.27,2183
182.69292,147.7648907,0.04,295,0.27,2183
185.98768,149.6050035,0.04,295,0.27,2183
189.28212,151.3449765,0.04,295,0.27,2183
193.11348,153.2250601,0.04,295,0.27,2183
196.79172,155.1663501,0.04,295,0.27,2183
201.00624,156.9943983,0.04,295,0.27,2183
204.91352,158.9714049,0.04,295,0.27,2183
208.6682,160.7398548,0.04,295,0.27,2183
214.10844,162.9815452,0.04,295,0.27,2183
