thickness	StressThickness	R	T	P	Melting_T
66.52632	-38.06313345	0.12	295	0.27	2938
76.38252	-42.65013731	0.12	295	0.27	2938
86.3232	-47.32111114	0.12	295	0.27	2938
96.46344	-51.08955548	0.12	295	0.27	2938
106.84788	-54.70411023	0.12	295	0.27	2938
117.5238	-58.76727827	0.12	295	0.27	2938
129.12852	-63.30148268	0.12	295	0.27	2938
138.99288	-67.70925263	0.12	295	0.27	2938
148.87344	-72.33112461	0.12	295	0.27	2938
158.778	-77.5432063	0.12	295	0.27	2938
170.3862	-83.53949726	0.12	295	0.27	2938
183.702	-91.66553798	0.12	295	0.27	2938
201.35808	-101.882183	0.12	295	0.27	2938
212.6682	-109.855665	0.12	295	0.27	2938
226.29984	-120.8617205	0.12	295	0.27	2938
240.77976	-132.3956384	0.12	295	0.27	2938
250.62036	-141.5181592	0.12	295	0.27	2938
260.49264	-150.4653406	0.12	295	0.27	2938
270.35316	-159.8008581	0.12	295	0.27	2938
280.20552	-169.6716076	0.12	295	0.27	2938
290.06208	-179.4422215	0.12	295	0.27	2938
299.92668	-189.469615	0.12	295	0.27	2938
309.80304	-200.2482826	0.12	295	0.27	2938
319.67964	-211.052731	0.12	295	0.27	2938
329.55612	-222.7289357	0.12	295	0.27	2938
339.41652	-233.5574096	0.12	295	0.27	2938
349.28484	-244.2992442	0.12	295	0.27	2938
359.14932	-255.2924668	0.12	295	0.27	2938
368.98992	-266.6114812	0.12	295	0.27	2938
378.83436	-277.7383528	0.12	295	0.27	2938
388.69092	-289.5922651	0.12	295	0.27	2938
398.54316	-301.8688181	0.12	295	0.27	2938
