thickness	StressThickness	R	T	P	Melting_T
63.711	172.777542	0.12	295	0.27	2180
81.2106	208.1944823	0.12	295	0.27	2180
98.70324	238.408211	0.12	295	0.27	2180
116.42256	265.0314625	0.12	295	0.27	2180
133.90908	288.524909	0.12	295	0.27	2180
151.39008	309.2143779	0.12	295	0.27	2180
168.86532	328.6164659	0.12	295	0.27	2180
186.33504	346.5085585	0.12	295	0.27	2180
203.80056	363.8195305	0.12	295	0.27	2180
221.4918	379.1672499	0.12	295	0.27	2180
238.94592	393.5925573	0.12	295	0.27	2180
256.39572	406.5480694	0.12	295	0.27	2180
273.84276	417.9094408	0.12	295	0.27	2180
291.28068	427.4998165	0.12	295	0.27	2180
308.71572	438.2825566	0.12	295	0.27	2180
326.37768	448.5303357	0.12	295	0.27	2180
344.03784	458.9643653	0.12	295	0.27	2180
361.46184	469.2770178	0.12	295	0.27	2180
378.882	479.3379849	0.12	295	0.27	2180
396.30564	488.6723321	0.12	295	0.27	2180
413.25816	491.8133526	0.12	295	0.27	2180
