Fit_data,R,T,P,Melting_T,K0,alpha1,L0,GrainSize_200,Sigma0,BetaD,Mfda,Di,A0,B0,l0
Cr_2mTorr_0.08nm_s.txt,0.08,300,0.27,2180,175.3175139427185,0.05539801120758057,0.19235316663980484,25.399166601995624,10.37518136203289,0.27027885317802436,32.83631768167019,1.4984561204910278,-2.2842159271240234,-4.007816851139069,0.5217434473335743
Cr_2mTorr_0.12nm_s.txt,0.12,300,0.27,2180,143.46452951431274,0.05539801120758057,0.19235316663980484,25.399166601995624,10.37518136203289,0.27027885317802436,32.83631768167019,1.4984561204910278,-2.2842159271240234,-4.007816851139069,0.5217434473335743
Cr_2mTorr_0.24nm_s.txt,0.24,300,0.27,2180,181.79923295974731,0.05539801120758057,0.19235316663980484,25.399166601995624,10.37518136203289,0.27027885317802436,32.83631768167019,1.4984561204910278,-2.2842159271240234,-4.007816851139069,0.5217434473335743
V_0.02nm.s_0.27Pa.txt,0.02,300,0.27,2183,40.73739051818848,0.04497412204742432,20.88101863861084,12.209019348537549,19.160473123192787,0.0029426894187927245,0.011656613548596699,0.01817752182483673,-2.9030418395996094,-6.126746892929077,1.233460644865036
V_0.04nm.s_0.27Pa.txt,0.04,300,0.27,2183,67.2960877418518,0.04497412204742432,20.88101863861084,12.209019348537549,19.160473123192787,0.0029426894187927245,0.011656613548596699,0.01817752182483673,-2.9030418395996094,-6.126746892929077,1.233460644865036
V_0.06nm.s_0.27Pa.txt,0.06,300,0.27,2183,82.91634321212769,0.04497412204742432,20.88101863861084,12.209019348537549,19.160473123192787,0.0029426894187927245,0.011656613548596699,0.01817752182483673,-2.9030418395996094,-6.126746892929077,1.233460644865036
Mo_0.08nm.s_0.27Pa.txt,0.08,300,0.27,2896,29.28367853164673,0.03999165773391724,12.123223543167114,14.521113261580467,9.211192056536674,0.0139468252658844,29.398208657900494,0.34744453132152553,-3.873490333557129,-8.915454069773356,0.8535607449213664
Mo_0.12nm.s_0.27Pa.txt,0.12,300,0.27,2896,25.53609609603882,0.03999165773391724,12.123223543167114,14.521113261580467,9.211192056536674,0.0139468252658844,29.398208657900494,0.34744453132152553,-3.873490333557129,-8.915454069773356,0.8535607449213664
W_2mTorr0.08nm_s.txt,0.08,300,0.27,3695,-203.77919375896454,0.04497412204742432,20.950310826301575,14.324079632759094,6.6182151064276695,0.03972793579101563,34.817892014980316,0.571812665462494,-4.826475143432617,-10.393584668636322,0.9628828418254853
W_2mTorr0.12nm_s.txt,0.12,300,0.27,3695,-175.77178180217743,0.04497412204742432,20.950310826301575,14.324079632759094,6.6182151064276695,0.03972793579101563,34.817892014980316,0.571812665462494,-4.826475143432617,-10.393584668636322,0.9628828418254853
CrW_2mTorr0.08nm_s.txt,0.08,300,0.27,2938,-39.88062143325806,0.04497412204742432,18.13888192176819,15.171622693538666,13.320114985108376,0.12249295413494111,37.10560131072998,0.6532598242163659,-3.5553455352783203,-7.200700759887695,0.7423131445795298
CrW_2mTorr0.12nm_s.txt,0.12,300,0.27,2938,-13.015490770339966,0.04497412204742432,18.13888192176819,15.171622693538666,13.320114985108376,0.12249295413494111,37.10560131072998,0.6532598242163659,-3.5553455352783203,-7.200700759887695,0.7423131445795298
